Item,Qty,Reference(s),Value,Description,MPN,Package,Note
1,1,C1,1uF 10V,,FS15B105K100PKG,1005,
2,10,"C2, C5, C6, C7, C8, C9, C10, C11, C12, C13",0.1uF,,CC0402KRX7R7BB104,1005,
3,2,"C3, C4",10uF 6.3V,,CL05A106MQ5NUNC,1005,
4,8,"C14, C15, C16, C17, C18, C19, C20, C21",0.1uF 100V,,NM0805B104K101CEDN,2012,
5,15,"C22, C23, C24, C25, C26, C27, C29, C30, C31, C32, C33, C34, C35, C36, C37",22uF 10V,,GRM188R61A226ME15D,1608,
6,1,C28,15nF,,0402B153K160CT,1005,
7,16,"D1, D2, D3, D4, D5, D6, D7, D8, D9, D10, D11, D12, D13, D14, D22, D23",TVS,0.5pF 3.3V,AR0521P1,1006,
8,2,"D24, D25",TVS,Bidir 5.5/6/12.5V 30A,D5V0H1B2LP-7B,1006,
9,7,"D15, D16, D17, D18, D19, D20, D21",USB,,APHB1608SGEC,,
10,7,"J2, J3, J4, J5, J6, J7, J8",USBx,JST SH 4-Pin horizontal,SM04B-SRSS-TB(LF)(SN) ,,
11,1,R1,10k,10k 1%,0402WGF1002TCE,1005,
12,4,"R2, R3, R4, R5",100k,100k 1%,0402WGF1003TCE,1005,
13,1,R6,2.7k,2.7k 1%,0402WGF2701TCE,1005,
14,7,"R7, R8, R9, R10, R11, R12, R13",470,470 1%,0402WGF4700TCE,1005,
15,1,U1,MaxLinear_XR22417-48,,XR22417CV48TR-F,LQFP-48 P0.5,
16,1,U2,Dialog_SLG5NT1487V,,SLG5NT1487V,JEDEC_MO-252_W2015D,
17,1,Y1,12MHz 50ppm 16-20pF,,CM4012M00020T8188026,2520,
